question,answer,answerKey
"Hangisi ulaşım için bir yol değildir?
Şıklar:
A. radyo kulesi
B. yol
C. pist
D. boru hattı",radyo kulesi,A
"Bunlardan hangisi fiziksel ayrışmaya en iyi örnektir?
Şıklar:
A. ölü bir ağacı yiyen böcekler
B. toprağı iten bir buldozer
C. buzun taşı kırması
D. asit yağmurunun kireçtaşını çözmesi",buzun taşı kırması,C
"Litosferik levhalar hareket ederek Dünya yüzeyinde kara oluşumları meydana getirmiştir. Hangi kara oluşumu levhaların birbiri üzerine katlanması sonucu meydana gelir?
Şıklar:
A. bir deprem
B. bir dağ silsilesi
C. bir nehir
D. bir yanardağ",bir dağ silsilesi,B
"Hangisi hem karışımı hem de çözeltiyi en iyi şekilde tanımlar?
Şıklar:
A. Bir katı, bir sıvı içinde çözünür.
B. İki farklı madde birleşir.
C. Yeni özelliklere sahip bir malzeme oluşur.
D. Birleşen maddeler ayrılamaz.",İki farklı madde birleşir.,B
"Andy Green, 15 Ekim 1997'de Nevada'nın Kara Çölü'nde ""Thrust"" adlı jet motorlu bir araçla saniyede ortalama 339 metre hızla ölçülen bir mesafeyi kat etti. Andy, ___ ilk kişi oldu.
Şıklar:
A. Doppler etkisini kullanan
B. jet yakıtlı bir arabada süren
C. Nevada'nın Kara Çölü'nü geçen
D. yerde ses duvarını aşan",yerde ses duvarını aşan,D
"Jeremy saatte ortalama 3 kilometre (km/sa) hızla yürümüştür. Jeremy 30 dakika içinde ne kadar yol yürümüştür?
Şıklar:
A. 0.1 kilometre
B. 1.5 kilometre
C. 10 kilometre
D. 90 kilometre",1.5 kilometre,B
"Hangi iki çevresel değişiklik genellikle belirli hayvanların göç etmesine neden olur?
Şıklar:
A. mevsim değişikliği ve daha az yırtıcı hayvan
B. mevsim değişikliği ve daha az yiyecek
C. habitat kaybı ve daha az yırtıcı hayvan
D. habitat kaybı ve daha fazla yiyecek",mevsim değişikliği ve daha az yiyecek,B
"Kira, okul bahçesindeki bitkilerin Temmuz ayında yeşil olduğunu ve büyüdüğünü, ancak Aralık ayında kahverengi olduğunu fark eder. Bitkiler neden yazın kışın olduğundan daha fazla büyür?
Şıklar:
A. Dünya yazın Güneş'e daha yakındır.
B. Dünya yaz aylarında daha hızlı döner.
C. Dünya'nın çekirdeği yaz aylarında yüzeye daha yakındır.
D. Dünya'nın kuzey yarısı yaz aylarında Güneş'e doğru eğilir.",Dünya'nın kuzey yarısı yaz aylarında Güneş'e doğru eğilir.,D
"Nehirlerin taşması çevreye yardımcı olabilir ya da zarar verebilir. Bunlardan hangisi bir selin yararlı bir etkisi olabilir?
Şıklar:
A. aşınmış nehir yatakları
B. daha verimli topraklar
C. nehir yakınlarında daha az ağaç
D. suda yaşayan hayvanlar için daha az habitat",daha verimli topraklar,B
"Bir bisikletin ortalama 2 m/s hızla 100 m'lik bir mesafeyi kat etmesi için ne kadar zaman gerekir?
Şıklar:
A. 0.02 s
B. 50 s
C. 100 s
D. 200 s",50 s,B
"Bir sınıf taze portakal suyundaki C vitamini miktarını test etmiş ve aynı araştırmayı yapan bir önceki sınıftan farklı bir miktar hesaplamıştır. Sonuçlarının doğru olduğundan emin olmak için büyük olasılıkla ne yapılmalıdır?
Şıklar:
A. farklı bir meyve suyu denemek
B. kaydedilen verileri analiz etmek
C. Bir bilim insanına neyin yanlış gittiğini sormak
D. araştırmayı iki kez daha tekrarlamak",araştırmayı iki kez daha tekrarlamak,D
"Volkanlarda yüzey kayası oluşumunun ana süreci nedir?
Şıklar:
A. Kaya, erimiş kayadan hızla soğur.
B. Kaya aşırı basınçla yeniden kristalleşir.
C. Kaya, yeraltının derinliklerinde yavaşça katılaşır.
D. Kaya, çökelmiş tortudan oluşur.","Kaya, erimiş kayadan hızla soğur.",A
"Güneş'in iki katı kütleye sahip bir yıldız
Şıklar:
A. yaşam döngüsüne bir fisyon süreci ile başlar.
B. yakıt kaynağını çok daha hızlı kullanır.
C. daha fazla güneş patlaması sağlar.
D. bir nebula ile sonuçlanır.",yakıt kaynağını çok daha hızlı kullanır.,B
"Belirli bir tarlada, mavi çiçekli bitkiler arılar tarafından tozlaşırken, beyaz çiçekli bitkiler güveler tarafından tozlaşır. Arı nüfusu azalırsa, büyük olasılıkla hangisi gerçekleşir?
Şıklar:
A. Mavi çiçeklerin popülasyonu zamanla artacaktır.
B. Beyaz çiçek popülasyonu zamanla artacaktır.
C. Güveler mavi çiçekleri tozlaştırmaya başlayacaklar.
D. Arılar beyaz çiçekleri tozlaştırmaya başlayacaklar.",Beyaz çiçek popülasyonu zamanla artacaktır.,B
"Belirli bir atomun 20 elektronu, 21 nötronu ve 20 protonu vardır. Bu atomun atomik kütlesi nedir?
Şıklar:
A. 20
B. 21
C. 41
D. 61",41,C
"Tüm organizmalar besinleri işler. Hangi cümle bitki ve hayvanların besinleri nasıl benzer şekilde işlediğini en iyi şekilde açıklar?
Şıklar:
A. Güneş ışığından gelen enerji besin üretir.
B. Besinler hücre duvarlarının gücünü artırır.
C. Hücreler besinleri kullanılabilir formlara dönüştürür.
D. Besinler sindirim sistemi tarafından parçalanır.",Hücreler besinleri kullanılabilir formlara dönüştürür.,C
"Bir elektrik devresinde gerilim sabit tutulmaktadır. Direnç iki katına çıkarılırsa bu devredeki akıma ne olur?
Şıklar:
A. Akım üç katına çıkacaktır.
B. Akım iki katına çıkacaktır.
C. Akım yarı yarıya azalacak.
D. Akım aynı kalacaktır.",Akım yarı yarıya azalacak.,C
"Bir su kütlesinde yüksek bulanıklık seviyeleri varsa, büyük olasılıkla ne sonuca varılabilir?
Şıklar:
A. Düşük pH değerine sahiptir.
B. İçilmesi güvenli değildir.
C. İçmek için çok sıcak.
D. Çok fazla kimyasal madde içeriyor.",İçilmesi güvenli değildir.,B
"Bir okul tüm ampullerini yeni bir ampul türüyle değiştirdi. Yeni ampuller daha az enerji kullanıyor. Yeni ampuller büyük olasılıkla çevreye nasıl yardımcı olacak?
Şıklar:
A. Işık kirliliği miktarı azalacaktır.
B. Okuldaki klima daha az çalışacaktır.
C. Elektrik üretmek için daha az doğal kaynak kullanılacak.
D. Okulun elektrik faturasından tasarruf edilecektir.",Elektrik üretmek için daha az doğal kaynak kullanılacak.,C
"Yıllar boyunca birçok gökbilimci güneş sistemimizin yavaşça yoğunlaşan bir toz ve gaz bulutundan oluştuğunu düşündü. Yeni kanıtlar, güneş sistemimizin bir nebuladaki kısa ömürlü, büyük yıldızların patlamasıyla oluşmuş olabileceğini gösteriyor. Yeni kanıtların sonucu büyük olasılıkla ne olacak?
Şıklar:
A. Eski hipotez geçerliliğini yitirecektir.
B. Yeni hipotez çelişki nedeniyle reddedilecektir.
C. Eski hipotezin kanıtları göz ardı edilecektir.
D. Eski hipotez revize edilmeden önce kanıtlar doğrulanacaktır.",Eski hipotez revize edilmeden önce kanıtlar doğrulanacaktır.,D
"Aşağıdakilerden hangisi kütlenin korunumunu gösteren doğru yazılmış bir kimyasal denklemdir?
Şıklar:
A. Mg + HCl -> H_{2} + MgCl_{2}
B. H_{2}O + CO_{2} -> H_{2}CO_{3}
C. KClO_{3} -> KCl + O_{2}
D. H_{2} + O_{2} -> H_{2}O",H_{2}O + CO_{2} -> H_{2}CO_{3},B
"Güneş enerjisini elektriğe dönüştürmek için güneş panelleri kullanmak hangi kaynağın tükenmesini yavaşlatmaya yardımcı olabilir?
Şıklar:
A. güneş ışığı
B. su
C. kömür
D. bakır",kömür,C
"Jefferson'ın sınıfı ayçiçeklerini inceliyordu. Ayçiçeklerinin kendi yiyeceklerini yapabildiklerini öğrendiler. Bir ayçiçeğinin hangi kısımları yiyecek yapmak için gereken güneş ışığının çoğunu toplar?
Şıklar:
A. Çiçekler
B. yapraklar
C. tohumlar
D. kökleri",yapraklar,B
"Fotosentez sürecinde yeşil bitkiler güneş ışığından gelen enerjiyi kullanarak hangi ürünü oluşturur?
Şıklar:
A. karbondioksit
B. klorofil
C. şeker
D. DNA",şeker,C
"Yırtıcı hayvan, diğer hayvanlarla beslenen bir hayvandır. Bunlardan hangisi yırtıcıdır?
Şıklar:
A. geyik
B. kurt
C. inek
D. keçi",kurt,B
"Yeni bilgiler elde edildiğinde bilim insanları genellikle vardıkları sonuçları değiştirirler. Yeni bilgiler elde edildiği için hangi ifade değiştirildi?
Şıklar:
A. Ay uzaydadır.
B. Bitkiler kendi yiyeceklerini yaparlar.
C. Güneş Dünya'nın etrafında döner.
D. Kağıt ürünleri ahşaptan elde edilir.",Güneş Dünya'nın etrafında döner.,C
"Yaprak bitleri, belirli bitki türleriyle beslenen küçük, yumuşak gövdeli böceklerdir. Bir yaprak biti bir besin ağının hangi seviyesinde yer alır?
Şıklar:
A. üretici
B. ayrıştırıcı
C. birinci seviye tüketici
D. ikinci seviye tüketici",birinci seviye tüketici,C
"Bir gölün içinde ve çevresinde yaşayan organizmaların sayısı Haziran ayı boyunca oldukça sabit kalmıştır. Temmuz ayında üç haftalık yüksek sıcaklık ve yağışsız bir dönem yaşandı. Bu da gölün yüzeyini neredeyse kaplayan aşırı miktarda yeşil alg ile sonuçlandı. Bu durum büyük olasılıkla
Şıklar:
A. bakteri miktarında azalmaya yol açtı.
B. oksijen miktarında bir azalmaya yol açtı.
C. su sıcaklığında bir artışa yol açtı.
D. balık popülasyonunda bir artışa yol açtı.",oksijen miktarında bir azalmaya yol açtı.,B
"Bir çiftçinin saman için hasat etmek üzere ot yetiştirmeyi planladığı üç büyük tarlası vardır. Otlar ancak iki yıl büyüdükten sonra hasat edilmelidir. Çiftçi her yıl bir saman mahsulü elde etmek için ne yapabilir?
Şıklar:
A. Her tarlayı bir yıllık aralıklarla ekin.
B. Çimleri mümkün olduğunca birbirine yakın ekin.
C. Tüm tarlaları aynı anda, ancak farklı türde çimlerle ekin.
D. Her tarlaya aynı anda sıcak mevsim otları ve soğuk mevsim otları ekin.",Her tarlayı bir yıllık aralıklarla ekin.,A
"Stow, Massachusetts'te yaşayan Ravi, Hindistan'daki arkadaşına bir mesaj göndermek istiyor. Hangi araç bu mesajı gönderirken EN AZ yardımcı olur?
Şıklar:
A. kalem
B. bilgisayar
C. telefon
D. AM/FM radyo",AM/FM radyo,D
"Toprak, ___ içerebilen birçok maddenin bir karışımıdır.
Şıklar:
A. Güneş, su, kil ve kum
B. kum, kil, rüzgar ve çakıl taşları
C. kum, kil, ölü bitkiler ve ölü hayvanlar
D. yapraklar, dallar, güneş ve rüzgar","kum, kil, ölü bitkiler ve ölü hayvanlar",C
"Bir bitki hücresindeki hücre duvarının temel işlevi nedir?
Şıklar:
A. hastalığa karşı korumak için
B. yapısal destek vermek için
C. hücrenin parçalarını içermek için
D. hücre bölünmesine yardımcı olmak için",yapısal destek vermek için,B
"Çim kırpıntıları gibi bitki materyallerinin kaldırılması, büyük olasılıkla bir ekosistemi ___ etkileyecektir
Şıklar:
A. toprak erozyonu potansiyelini azaltarak
B. tüketiciler için mevcut gıdayı artırarak
C. yeni bitkiler için mevcut besin maddelerini azaltarak.
D. organik maddelerin birikimini arttırarak",yeni bitkiler için mevcut besin maddelerini azaltarak.,C
"Bir incelemeden sonra hangi madde güvenle yeniden kullanılabilir?
Şıklar:
A. sıvıları ısıtmak için kullanılan cam eşyalar
B. suyu filtrelemek için kullanılan filtre kağıdı
C. suyu emmek için kullanılan kağıt havlular
D. döküntüden temizlenen toz kimyasallar",sıvıları ısıtmak için kullanılan cam eşyalar,A
"Bir köpek bir kedi gördüğünde, köpeğin gözlerinden köpeğin ___ bir mesaj gider.
Şıklar:
A. beynine
B. burnuna
C. patilerine
D. kaslarına",beynine,A
"Sindirim sistemi yiyecekleri vücudumuzdaki hücreler tarafından kullanılan moleküllere ayırır. Başka hangi vücut sistemi sindirim sisteminin ne kadar hızlı veya yavaş çalışacağını düzenler?
Şıklar:
A. dolaşım sistemi
B. boşaltım sistemi
C. bağışıklık sistemi
D. sinir sistemi",sinir sistemi,D
"Hava koşulları değişir ve daha soğuk olmaya devam ederse, bir memelinin bu değişime uyum sağlamasının en muhtemel yolu nedir?
Şıklar:
A. daha az yemek
B. kış uykusuna yatmak
C. daha kalın bir kürk tabakası yetiştirmek
D. vücut sıcaklığını arttırmak",daha kalın bir kürk tabakası yetiştirmek,C
"Aşağıdakilerden hangisi mikroorganizmaların faydalarından biri değildir?
Şıklar:
A. Topraktaki besin maddelerini serbest bırakırlar.
B. Antibiyotik yapımına yardımcı olurlar.
C. Yiyeceklerin bozulmasına neden olurlar.
D. Atıkları parçalıyorlar.",Yiyeceklerin bozulmasına neden olurlar.,C
"Bir tencere gaz sobasının alevine dokunuyor ve tenceredeki madde temas nedeniyle ısınıyor. Bu hangi tür enerji transferine bir örnektir?
Şıklar:
A. radyasyon
B. konveksiyon
C. iletim
D. buharlaşma",iletim,C
"Bazı araştırmacılar havuçta bulunan beta-karotenin insanların daha uzun yaşamasına yardımcı olabileceğine inanıyor. Birkaç bilim insanı, yüz kişiden iki yıl boyunca günde iki doz beta-karoten almalarının isteneceği ve diğer yüz kişiye de aynı süre boyunca bir şeker hapı olan plasebo verileceği bir deney tasarladı. İki yılın ardından bilim insanları verileri toplayıp bir sonuca varmayı planlıyordu. Bu iyi bir bilimsel çalışma örneği değildir ve yapılmamıştır çünkü
Şıklar:
A. kontrol grubu yoktur.
B. çok fazla değişken var.
C. deney grubu yoktur.
D. test edilebilir bir hipotezi yoktur.",çok fazla değişken var.,B
"Newton'un birinci hareket yasası, hareketsiz bir cismin dışarıdan bir kuvvet tarafından etkilenmediği sürece hareketsiz kalacağını belirtir. Hangi aktivite bu yasaya bir örnektir?
Şıklar:
A. Bir futbol topu taçtan atılır.
B. Bir beyzbol oyuncusu ikinci kaleye doğru kayar.
C. Yüzen bir çubuk bir şelalenin üzerinde taşınır.
D. Bir bisiklet yokuş aşağı inerken daha hızlı hareket eder.",Bir futbol topu taçtan atılır.,A
"Aşağıdakilerden hangisi atomlardan oluşur?
Şıklar:
A. yerçekimi
B. ışık
C. ısı
D. hava",hava,D
"Bir cisme 10 newtonluk (N) bir kuvvet uygulandığında cisim saniyede 3 metre^2 hızlanır. Hangi kuvvet bu cismin saniyede 6 metre^2 hızlanmasına neden olur?
Şıklar:
A. 5 N
B. 10 N
C. 20 N
D. 30 N",20 N,3
"22 Sandy, köpeğinin en çok hangi yemeği sevdiğini bulmak için bir araştırma yürütmektedir. Araştırmasında kontrol edilen değişken hangisidir?
Şıklar:
A. Köpeğinin mama kabının rengi
B. Köpeğine verdiği yemek türü
C. Köpeğine verdiği yiyecek miktarı
D. Köpeğini günün hangi saatinde beslediği",Köpeğine verdiği yemek türü,B
"Matt uzun boylu, on bir yaşında bir çocuk. Sağ yanağında bir yara izi var. Zeki ve mükemmel bir davulcu. Büyük olasılıkla hangi özellikleri ona miras kalmıştır?
Şıklar:
A. onun boyu
B. sağ yanağındaki yara izi
C. onun zekası
D. davul çalma yeteneği",onun boyu,A
"Aşağıdakilerden hangisi dışında hepsi güvenli laboratuvar uygulamalarıdır?
Şıklar:
A. düzenli bir masa sağlamak.
B. deneyler sırasında güvenlik gözlüğü takmak.
C. talimatları okumadan önce kimyasalları karıştırmamak.
D. Bir deneyi tamamladıktan sonra elleri iyice yıkamak.",talimatları okumadan önce kimyasalları karıştırmamak.,C
"Hangi cümle birinci gelen yüzücünün neden ikinci gelen yüzücüden daha hızlı olduğunu açıklayamaz?
Şıklar:
A. Kazanan daha az su direnci yaşamıştır.
B. Kazananın üzerinde daha fazla çekim gücü vardı.
C. Sürtünme ikinci sıradaki yüzücüyü yavaşlattı.
D. Kazananın tekme ve vuruşlarında daha fazla güç vardı.",Kazananın üzerinde daha fazla çekim gücü vardı.,B
"Bir bardak kısmen su ile doldurulur. Bardağa beş buz küpü konur ve su seviyesinin bardağın kenarına ulaşmasına neden olur. Aşağıdaki ifadelerden hangisi su seviyesindeki artışı en iyi açıklar?
Şıklar:
A. Batan buzun hacmi, yer değiştiren suyun hacmine eşittir.
B. Bardaktaki suyun kütlesi buzun kütlesinden daha azdır.
C. Buzun ağırlığı bardaktaki suyun ağırlığından daha azdır.
D. Bardaktaki suyun yoğunluğu buzun yoğunluğundan daha fazladır.","Batan buzun hacmi, yer değiştiren suyun hacmine eşittir.",A
"Hangi madde Güneş'ten gelen enerji miktarını en çok tutacaktır?
Şıklar:
A. kar
B. kum
C. çimen
D. su",kum,B
"Ekvatoral Pasifik Okyanusu'nda kabarma soğuk, derin deniz suyunu yüzeye taşır. Bu su besin maddeleri ve çözünmüş karbondioksit gazı açısından zengindir. Bir El Niño olayı sırasında, kabarma azalır. Bu da yüzey sularının sıcaklığının yükselmesine neden olur. Bir El Niño yılında ekvatoral Pasifik Okyanusu'nda aşağıdakilerden hangisinin meydana gelme olasılığı en yüksektir?
Şıklar:
A. atmosfere karbondioksit salınımında azalma
B. yüzey sularındaki alglerin fotosentezinde artış
C. yüzey sularında çözünmüş oksijen artışı
D. okyanus suları üzerindeki yağışlarda azalma",atmosfere karbondioksit salınımında azalma,A
"Bir bitkinin kökleri bir araba yolundaki çatlaklardan büyüyebilir ve sonunda araba yolunun kırılmasına neden olabilir. Ne tür bir süreç gerçekleşiyor olabilir?
Şıklar:
A. erozyon
B. soyulma
C. ayrışma
D. sedimantasyon",ayrışma,C
"Bir bilim adamı yeni bir maddenin erime noktasını belirlemek için bir deney yapmaktadır. Hangi eylem doğru sonuçlar elde etme olasılığını artırabilir?
Şıklar:
A. deneyin üç kez tekrarlanması
B. birden fazla madde ile deney yapmak
C. deneyden sonra prosedürün yazılması
D. deneyde üç tip termometre kullanılması",deneyin üç kez tekrarlanması,A
"Hangisi bir rakun için büyük olasılıkla öğrenilmiş bir davranıştır?
Şıklar:
A. bir ağacın kovuğuna sığınak yapmak
B. çöp kutusunu açıp yiyecek aramak
C. koşarken dört bacağı hareket ettirmek
D. dört bebek sahibi olmak",çöp kutusunu açıp yiyecek aramak,B
"Bir öğrenci yenilenemeyen kaynaklar üzerinde çalışmaktadır. Öğrenci bu kaynaklardan hangileri üzerinde çalışıyor olabilir?
Şıklar:
A. kömür
B. ağaçlar
C. su
D. rüzgar",kömür,A
"Hayvanlar, yiyecek bulma ve yavrularını büyütme faaliyetleri yoluyla yaşam alanlarını etkileyebilirler. Bazen bu faaliyetler diğer organizmaların yaşam alanları üzerinde olumlu bir etkiye sahiptir. Olumlu etkisi olan bir faaliyete en iyi örnek hangisidir?
Şıklar:
A. filler ağaçların kabuklarını soyuyor
B. Bazı kuşların hücrelerini enfekte eden virüsler
C. Kunduzlar barınaklarına gölet yapmak için barajlar inşa ediyor
D. su bitkilerinin kökleriyle beslenen yarı sucul kemirgenler",Kunduzlar barınaklarına gölet yapmak için barajlar inşa ediyor,C
"Elmas üretmek için gerekli koşullardan biri nedir?
Şıklar:
A. yüksek irtifa
B. yoğun basınç
C. hızlı soğuma
D. düşük sıcaklıklar",yoğun basınç,B
"Bir bilim insanı bir kayayı ekstrüzif magmatik kaya olarak kategorize etmiştir. Başka bir bilim adamı aynı kayayı doğru bir şekilde şu şekilde kategorize edebilir:
Şıklar:
A. müdahaleci magmatik.
B. kırıntılı tortul.
C. metamorfik.
D. volkanik.",volkanik.,D
"Bunlardan hangisi en hızlı şekilde yeni toprak oluşturur?
Şıklar:
A. Ormanda çürüyen bir kütük.
B. Bir derede akan su.
C. Bahçede duran bir kaya.
D. Sahilde kırılan dalgalar.",Ormanda çürüyen bir kütük.,A
"Irene'nin iki levhayı birleştirmesi gerekiyor. Tahtaları birleştirmek için hangisi KULLANILMAZ?
Şıklar:
A. yapıştırıcı
B. vidalar
C. çiviler
D. testere",testere,D
"Gabbro ve bazalt magmatik kayaçlar olarak sınıflandırılır. İsimleri farklı olsa da aynı kimyasal bileşime sahiptirler. Jeologlar normalde bu iki kaya türünü birbirinden ayırmak için hangi özelliği tanımlama amacıyla kullanırlar?
Şıklar:
A. renk
B. doku
C. sertlik
D. köken",köken,D
"Bir parti dükkanı evlere ve işyerlerine helyum dolu balonlar dağıtmaktadır. Dükkan sahipleri, sıcak yaz günlerinde balonları yalnızca dörtte üç oranında şişirmeleri gerektiğini deneyimleriyle fark etmiştir. Soğuk kış günlerinde ise balonları tamamen şişirebilmektedirler. Bu gözlemi açıklayan en iyi hipotez aşağıdakilerden hangisidir?
Şıklar:
A. Helyum gazı kış mevsiminde daha aktiftir.
B. Balonların dışındaki hava balonların içine sızar.
C. Sıcaklık arttıkça balonlardaki helyum genleşir.
D. Yaz aylarında dış ortam hava basıncı iç ortam hava basıncından daha düşüktür.",Sıcaklık arttıkça balonlardaki helyum genleşir.,C
"Ağaçlar yenilenebilir bir doğal kaynaktır. Bu endüstrilerden hangisinin ağaçlara en az ihtiyacı vardır?
Şıklar:
A. otomobil üretimi
B. ev yapımı
C. peyzaj düzenlemesi
D. gazete",otomobil üretimi,A
"Bir alüminyum iyonunun yükü +3 ve bir oksit iyonunun yükü -2'dir. Bu iki element arasındaki bir reaksiyonun ürünü hangisi olur?
Şıklar:
A. Al_{2}O
B. Al_{2}O_{3}
C. 2AlO_{3}
D. Al_{3}O_{2}",Al_{2}O_{3},B
"İnsan yardımı olmadan uzun süre dayanacak bir teraryum ekosistemi oluşturmak neden zordur?
Şıklar:
A. Teraryum ekosistemleri yeterince güneş ışığı alamaz.
B. Teraryum ekosistemleri yeterli oksijen alamaz.
C. Az sayıda türün bulunduğu ekosistemler zayıf ve istikrarsızdır.
D. Tüm ekosistemler özenli bir insan yönetimi gerektirir.",Az sayıda türün bulunduğu ekosistemler zayıf ve istikrarsızdır.,C
"Bir araştırmacı, bir kaya örneğini farklı kimyasallara ayırmak için çeşitli prosedürler kullanır. Bir kimyasaldan 50 gramlık bir kütle üretilir. Eğer bu kimyasal diğer kimyasallara ayrılamıyorsa, o zaman en iyi ___ şekilde tanımlanır.
Şıklar:
A. bir bileşik.
B. bir karışım.
C. bir çözelti.
D. bir element.",bir element.,D
"Bir lastik ördek yarışında, kazanan ördek 300 metreyi 10 dakikada kat etti. Ördeğin ortalama hızı ne kadardı?
Şıklar:
A. 0,5 m/s
B. 1.0 m/s
C. 7.5 m/s
D. 30 m/s","0,5 m/s",A
"Bir araştırmacı, aynı türden farklı ağaçlardaki yaprakların şekillerinde farklılıklar olduğunu fark eder. Bu farklılıkları kaydetmenin en doğru yolu aşağıdakilerden hangisidir?
Şıklar:
A. yaprak sayılarını bir veri tablosuna kaydetmek
B. bir fotoğraf makinesi kullanarak her bir yaprak türünün fotoğrafını çekmek
C. farklı yaprakların boyutlarını bir deftere kaydedin
D. bir hesap makinesi kullanarak tüm yaprak türlerinin yüzdelerini hesaplamak",bir fotoğraf makinesi kullanarak her bir yaprak türünün fotoğrafını çekmek,B
"Aşağıdaki kümelerden hangisi sadece yansıyan ışık sonucu parlayan nesneleri içerir?
Şıklar:
A. uydular, gezegenler ve kuyruklu yıldızlar
B. aylar, kuyruklu yıldızlar ve yıldızlar
C. gezegenler, yıldızlar ve kuyruklu yıldızlar
D. gezegenler, yıldızlar ve uydular","uydular, gezegenler ve kuyruklu yıldızlar",A
"Bir binanın kış aylarında dışarıya ısı kaybettiği tespit edilmiştir. Bu tasarım sorununu düzeltmek için en iyi çözüm hangisi olurdu?
Şıklar:
A. ısıtma miktarını artırmak
B. duvarların yüzey alanını artırmak
C. pencere sayısını artırmak
D. yalıtım kalınlığını artırmak",yalıtım kalınlığını artırmak,D
"Bir öğrenci, ışığın hangi renklerinin bir prizma tarafından kırıldığını öğrenmek için bir deney düzenler. Öğrenci veri toplamak için büyük olasılıkla hangi yöntemi kullanacaktır?
Şıklar:
A. araştırma
B. görüşmeler
C. gözlem
D. ölçüm",gözlem,C
"Aşağıda hangi değişim gerçekleşmiştir? K -> K^+
Şıklar:
A. bir proton kaybı
B. bir proton kazancı
C. bir elektron kaybı
D. bir elektron kazancı",bir elektron kaybı,C
"Hangi eylem bir balık tankındaki oksijen miktarını artırır?
Şıklar:
A. daha fazla balık eklemek
B. daha fazla bitki eklemek
C. tanka yiyecek yerleştirmek
D. depoya bir su ısıtıcı yerleştirmek",daha fazla bitki eklemek,B
"Bir öğrenci bütün bir elmadaki maddenin aynı elmanın parçalarındaki maddeye eşit olduğunu göstermek istiyor. Öğrencinin bütün elmadaki madde ile elma parçaları arasındaki ilişkiyi nasıl gösterebileceğini en iyi hangi süreç açıklar?
Şıklar:
A. elma parçalarını gözlemlemek
B. elmayı daha fazla parçaya bölmek
C. bütün elmanın rengini gözlemlemek, ardından elma parçalarının rengini gözlemlemek
D. bütün elmanın kütlesinin belirlenmesi, ardından elma parçalarının kütlesinin belirlenmesi","bütün elmanın kütlesinin belirlenmesi, ardından elma parçalarının kütlesinin belirlenmesi",D
"Kaliforniya'daki El Cajon Geçidi, her yıl yaklaşık 1 santimetre hızla çevresindeki araziden daha yüksek hale gelmektedir. Bölge hakkında hangi ifade doğrudur?
Şıklar:
A. El Cajon Geçidi'nde erozyon, yükselmeden daha yavaştır.
B. El Cajon Geçidi'nde plakalar ayrılıyor.
C. El Cajon Geçidi'nde dağ oluşumu erozyondan daha yavaştır.
D. El Cajon Geçidi'nde erozyon ve yükselme dengelenmiştir.","El Cajon Geçidi'nde erozyon, yükselmeden daha yavaştır.",A
"Birçok çöl hayvanı sadece geceleri aktiftir. Sadece geceleri aktif olmaları sıcak çöl ikliminde hayatta kalmalarına nasıl yardımcı olur?
Şıklar:
A. Geceleri ışık saçan böcekleri görebilirler.
B. Vücutları serin gece havasında daha az su kaybeder.
C. Ay ışığında daha fazla bitki besini bulabilirler.
D. Vücutları gündüzleri uyurken güneş ışığını emer.",Vücutları serin gece havasında daha az su kaybeder.,B
"Bir aslanın aşağıdaki özelliklerinden hangisini yavrularına aktarma olasılığı en düşüktür?
Şıklar:
A. kürkünün renkleri
B. kuyruğunun uzunluğu
C. bacağındaki yara izleri
D. vücudunun büyüklüğü",bacağındaki yara izleri,C
"Bitki popülasyonlarının kaybı nedeniyle biyoçeşitliliğin azalması neden bir ekosistem için özellikle yıkıcıdır?
Şıklar:
A. Bitkiler en fazla biyokütleye sahiptir.
B. Bitkiler hastalıklara karşı dirençlidir.
C. Bitkiler birincil üreticilerdir.
D. Bitkiler besin ağının bir parçasıdır.",Bitkiler birincil üreticilerdir.,C
"Bir öğrenci bir tuğlanın kütlesini ölçmek için hangi aracı kullanır?
Şıklar:
A. terazi
B. yarda ölçeği
C. termometre
D. dereceli silindir",terazi,A
"Hangisi bir fiziksel değişim ve bir kimyasal değişim örneği gösterir?
Şıklar:
A. kaynar su ve eriyen balmumu
B. demiri paslandırmak ve kek pişirmek
C. toz çözme ve kağıt parçalama
D. suyun dondurulması ve kömürün yakılması",suyun dondurulması ve kömürün yakılması,D
"Güneş'in etrafında dönen toplam sekiz gezegen vardır. Diğer gezegenlerden kaçı Dünya ile aynı yönde yörüngede dönmektedir?
Şıklar:
A. 0
B. 1
C. 4
D. 7",7,D
"Robert yeni bir buzdolabı almayı düşünüyor. Eski buzdolabı yaklaşık %43 verimlilikle çalışıyor. Enerjinin geri kalan %57'si büyük olasılıkla hangisinden kaynaklanmaktadır?
Şıklar:
A. Buzdolabındaki ışık tarafından tüketilir.
B. Isı olarak çevreye yayılır.
C. Mekanik enerjiye dönüştürülür.
D. Potansiyel enerjinin bir formu olarak depolanır.",Isı olarak çevreye yayılır.,B
"Great Basin Ulusal Parkı'nın hangi özelliği buzulların arazide hareket ettiğine dair en iyi kanıtı sağlar?
Şıklar:
A. çamur düzlükleri
B. sığ tuz gölleri
C. sagebrush tarlaları
D. kayalık enkaz yığınları",kayalık enkaz yığınları,D
